XCoord,YCoord,OBJECTID,XCOORD,YCOORD
-74.19359829,40.54280387,2066,-74.193598,40.542804
-74.17488637,40.54280387,2067,-74.174886,40.542804
-74.15617446,40.54280387,2068,-74.156174,40.542804
-74.24973404,40.55733829,2069,-74.249734,40.557338
-74.23102212,40.55733829,2070,-74.231022,40.557338
-74.21231021,40.55733829,2071,-74.212310,40.557338
-74.19359829,40.55733829,2072,-74.193598,40.557338
-74.17488637,40.55733829,2073,-74.174886,40.557338
-74.15617446,40.55733829,2074,-74.156174,40.557338
-74.13746254,40.55733829,2075,-74.137463,40.557338
-74.11875062,40.55733829,2076,-74.118751,40.557338
-74.24973404,40.57187271,2077,-74.249734,40.571873
-74.23102212,40.57187271,2078,-74.231022,40.571873
-74.21231021,40.57187271,2079,-74.212310,40.571873
-74.19359829,40.57187271,2080,-74.193598,40.571873
-74.17488637,40.57187271,2081,-74.174886,40.571873
-74.15617446,40.57187271,2082,-74.156174,40.571873
-74.13746254,40.57187271,2083,-74.137463,40.571873
-74.11875062,40.57187271,2084,-74.118751,40.571873
-74.10003871,40.57187271,2085,-74.100039,40.571873
-74.24973404,40.58640712,2086,-74.249734,40.586407
-74.23102212,40.58640712,2087,-74.231022,40.586407
-74.21231021,40.58640712,2088,-74.212310,40.586407
-74.19359829,40.58640712,2089,-74.193598,40.586407
-74.17488637,40.58640712,2090,-74.174886,40.586407
-74.15617446,40.58640712,2091,-74.156174,40.586407
-74.13746254,40.58640712,2092,-74.137463,40.586407
-74.11875062,40.58640712,2093,-74.118751,40.586407
-74.10003871,40.58640712,2094,-74.100039,40.586407
-74.08132679,40.58640712,2095,-74.081327,40.586407
-74.24973404,40.60094154,2096,-74.249734,40.600942
-74.23102212,40.60094154,2097,-74.231022,40.600942
-74.21231021,40.60094154,2098,-74.212310,40.600942
-74.19359829,40.60094154,2099,-74.193598,40.600942
-74.17488637,40.60094154,2100,-74.174886,40.600942
-74.15617446,40.60094154,2101,-74.156174,40.600942
-74.13746254,40.60094154,2102,-74.137463,40.600942
-74.11875062,40.60094154,2103,-74.118751,40.600942
-74.10003871,40.60094154,2104,-74.100039,40.600942
-74.08132679,40.60094154,2105,-74.081327,40.600942
-74.06261487,40.60094154,2106,-74.062615,40.600942
-74.24973404,40.61547596,2107,-74.249734,40.615476
-74.23102212,40.61547596,2108,-74.231022,40.615476
-74.21231021,40.61547596,2109,-74.212310,40.615476
-74.19359829,40.61547596,2110,-74.193598,40.615476
-74.17488637,40.61547596,2111,-74.174886,40.615476
-74.15617446,40.61547596,2112,-74.156174,40.615476
-74.13746254,40.61547596,2113,-74.137463,40.615476
-74.11875062,40.61547596,2114,-74.118751,40.615476
-74.10003871,40.61547596,2115,-74.100039,40.615476
-74.08132679,40.61547596,2116,-74.081327,40.615476
-74.06261487,40.61547596,2117,-74.062615,40.615476
-74.04390296,40.61547596,2118,-74.043903,40.615476
-74.24973404,40.63001037,2119,-74.249734,40.630010
-74.23102212,40.63001037,2120,-74.231022,40.630010
-74.21231021,40.63001037,2121,-74.212310,40.630010
-74.19359829,40.63001037,2122,-74.193598,40.630010
-74.17488637,40.63001037,2123,-74.174886,40.630010
-74.15617446,40.63001037,2124,-74.156174,40.630010
-74.13746254,40.63001037,2125,-74.137463,40.630010
-74.11875062,40.63001037,2126,-74.118751,40.630010
-74.10003871,40.63001037,2127,-74.100039,40.630010
-74.08132679,40.63001037,2128,-74.081327,40.630010
-74.06261487,40.63001037,2129,-74.062615,40.630010
-74.04390296,40.63001037,2130,-74.043903,40.630010
-74.24973404,40.64454479,2131,-74.249734,40.644545
-74.23102212,40.64454479,2132,-74.231022,40.644545
-74.21231021,40.64454479,2133,-74.212310,40.644545
-74.19359829,40.64454479,2134,-74.193598,40.644545
-74.17488637,40.64454479,2135,-74.174886,40.644545
-74.15617446,40.64454479,2136,-74.156174,40.644545
-74.13746254,40.64454479,2137,-74.137463,40.644545
-74.11875062,40.64454479,2138,-74.118751,40.644545
-74.10003871,40.64454479,2139,-74.100039,40.644545
-74.08132679,40.64454479,2140,-74.081327,40.644545
-74.06261487,40.64454479,2141,-74.062615,40.644545
-74.04390296,40.64454479,2142,-74.043903,40.644545
-95.81876398,29.50435220,2143,-95.818764,29.504352
-95.80206174,29.50435220,2144,-95.802062,29.504352
-95.76865726,29.50435220,2145,-95.768657,29.504352
-95.53482593,29.50435220,2146,-95.534826,29.504352
-95.51812369,29.50435220,2147,-95.518124,29.504352
-95.50142145,29.50435220,2148,-95.501421,29.504352
